,OBJECTID,Match_type,Ref_ID,ID1,Id,SchoolId,Name,Address,City,Zipcode,Contact,PhoneNumbe,YearBuilt,NumStories,Cost,NumStudent,BackupPowe,ShelterCap,Latitude,Longitude,Comment,X,Y,NumStudent12,CampusHous,NumStudents13,URL,Address2013
17,18,Consortium,0,,16291,0,Boston University Admissions,121 Bay State Rd,Fenway/Kenmore,13055,BOSTON UNIVERSITY TRSTS,(617)-353-2300,1899,4,2624800,0,0, ,42.350434,-71.09884899,504037000,764603.1577,2952982.075,,,0,,
50,52,NCES,0, ,98366,16645201,Art Institute of Boston at Lesley University,"700 Beacon St, Boston, Massachusetts 02215",Fenway/Kenmore,37990,ART INSTITUTE OF BOSTON,(617) 585-6600,1899,4,7212500,0,0, ,42.34849999,-71.09936999,504144000,764465.6357,2952276.625,,27%,0,http://www.aiboston.edu,
8,9,NCES & Consortium,0,"One Silber Way, Boston, Massachusetts 02215",15422,164988,Boston University,"One Silber Way, Boston, Massachusetts 02215",Fenway/Kenmore,593154,BOSTON UNIVERSITY TRSTS OF,(617) 353-2000,1996,8,66943300,31960,0, ,42.34955975,-71.09970931,503991000,764372.1008,2952662.391,32439,74%,32411,http://www.bu.edu,
7,8,NCES & Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86125,167783,Simmons,"300 Fenway, Boston, Massachusetts 02115",Fenway/Kenmore,240740,SIMMONS COLLEGE,(617) 521-2000,1976,4,55553100,5003,0, ,42.33918733,-71.0999399,401842000,764327.4965,2948882.188,4829,75%,4900,http://www.simmons.edu,
41,43,NCES & Consortium,0,"621 Huntington Ave, Boston, Massachusetts 02115-5*",86503,166674,Massachusetts College of Art and Design,"621 Huntington Ave, Boston, Massachusetts 02115",Fenway/Kenmore,217791,COMMWLTH OF MASS,(617) 879-7000,1900,6,65800100,2422,0, ,42.33638373,-71.10034042,401841000,764224,2947860,2422,28%,2264,http://www.massart.edu,
42,44,NCES & Consortium,0,"179 Longwood Ave, Boston, Massachusetts 02115-5896",86582,166656,MCPHS University,"179 Longwood Ave, Boston, Massachusetts 02115",Fenway/Kenmore,104000,MASS COLLEGE OF PHARMACY,(617) 732-2800,1917,4,87531900,4252,0, ,42.33688,-71.10112,401844000,764012.3787,2948039.86,5327,17%,6548,http://www.mcp.edu,
15,16,Consortium,0,,15282,0,Boston University Sargent College,635 Commonwealth Ave,Fenway/Kenmore,85902,BOSTON UNIVERSITY TRS OF,(617)-353-2711,1899,7,19403300,0,0, ,42.34983461,-71.10204532,504089000,763740.1739,2952759.598,,,0,http://www.bu.edu/sargent/about-us/fast-facts/,
24,26,Consortium,0,"Massachusetts Hall, Cambridge, Massachusetts 02138",98086,0,Harvard Medical School,200 Longwood Ave,Fenway/Kenmore,67821,HARVARD COLLEGE, ,1906,5,522739567,0,0, ,42.33650088,-71.10247008,401882000,763647.9999,2947900,27392, ,1732,http://www.hms.harvard.edu,
5,6,NCES & Consortium,0,"400 The Fenway, Boston, Massachusetts 02115",86640,165671,Emmanuel College,"400 Fenway, Massachusetts 02115",Fenway/Kenmore,52212,EMMANUEL COLLEGE TRUSTEES,(617) 735-9715,1899,3,99370400,2454,0, ,42.34151633,-71.10347795,401847000,763367.006,2949726.454,2519,48%,2436,http://www.emmanuel.edu,
23,25,Consortium,0,"300 The Fenway, Boston, Massachusetts 02115-5898",86676,0,Simmons College,94 Pilgrim Rd.,Fenway/Kenmore,48601,SIMMONS FEMALE COLLEGE,(617)-521-1101,1899,2,21821300,0,0, ,42.34105034,-71.10589563,402012000,762714.1704,2949553.609,, ,4655,,
10,11,NCES,0,"200 Riverway, Boston, Massachusetts 02215-4176",86683,168290,Wheelock College,"200 the Riverway, Boston, Massachusetts 02215",Fenway/Kenmore,75256,WHEELOCK SCHOOL,(617) 734-5200,1925,3,11614900,1055,0, ,42.34174,-71.10642,402011000,762571.2487,2949804.278,1285,70%,1378,http://www.wheelock.edu,
26,28,Consortium,0,,86735,0,MASCO Colleges of the Fenway,375 Longwood Ave,Fenway/Kenmore,399470,CONG ADATH ISRAEL OF BOSTON,(617)-632-2739,1991,7,37257100,0,0, ,42.34004,-71.10830999,401996000,762063.1349,2949182.414,,,0,,
13,14,Consortium,0,,15399,0,Boston University Research,771 Commonwealth Ave,Fenway/Kenmore,0,BOSTON UNIVERSITY TRSTS,(617)-353-3696,0,5,1484500,0,0, ,42.35083298,-71.10900119,2100360000,761858.2367,2953114.73,,,0,,
14,15,Consortium,0,,15400,0,Boston University School of Law,1 University Rd,Fenway/Kenmore,54767,BOSTON UNIVERSITY TRSTS,(617)-353-9000,1931,3,5529700,0,0, ,42.35116191,-71.10977291,2100392000,761649.0846,2953233.643,,,0,http://www.bu.edu/law/about/overview.html,
54,57,NCES,0,"400 Heath St, Chestnut Hill, Massachusetts 02467",90949,167455,Pine Manor College,"400 Heath St, Chestnut Hill, Massachusetts 02467",Jamaica Plain,0,BACK OF THE HILL CONDO TRUST,(617) 731-7000,1999,2,0,484,0, ,42.32878999,-71.11021999,1001487000,761565.4896,2945080.34,343,73.50%,346,http://www.pmc.edu,
56,59,NCES & Consortium,0,"950 Metropolitan Ave, Boston, Massachusetts 02136*",62594,164614,Boston Baptist College,"950 Metropolitan Ave, Boston, Massachusetts 02136",Hyde Park,35206,BOSTON BAPTIST COLLEGE,(617) 364-3510,1899,3,3326900,147,0, ,42.25399999,-71.11025999,1810945000,761679.2079,2917825.673,103, ,96,http://www.boston.edu,
19,20,Consortium,0,,84599,0,Boston University Trustees,25 Buick Street,Allston/Brighton,122743,BOSTON UNIVERSITY,(617)-353-6500,1990,3,18007000,0,0, ,42.35196,-71.11522999,2100400000,760172.6761,2953517.78,,,0,,
28,30,Consortium,0,,79841,0,Harvard Business School,Soldiers Field Rd,Allston/Brighton,92340,HARVARD COLLEGE, ,1975,3,26812300,0,0, ,42.36522699,-71.12005612,2200480000,758846.6141,2958346.699,, ,913,http://www.hbs.edu,
27,29,Consortium,0,,79838,0,Harvard University Sailing,Harvard Way,Allston/Brighton,,HARVARD COLLEGE,(617)-495-3434,0, ,831000,0,0, ,42.3664324,-71.1229264,2200530001,758068.9815,2958782.535,,,0,,
52,54,NCES,0,"1505 Commonwealth Ave, Brighton, Massachusetts 02*",80906,167020,Everest Institute-Brighton,"1505 Commonwealth Ave, Brighton, Massachusetts 02135",Allston/Brighton,63504,COMMEX LLC,(617) 783-9955,1964,5,3189600,700,0, ,42.34711,-71.14154,2101830005,753068.3708,2951719.357,422, ,369,http://www.bryman-institute.com,
53,55,NCES,0,"127 Lake Street, Brighton, Massachusetts 02135-38*",88667,167677,Saint John's Seminary,"127 Lake Street, Brighton, Massachusetts 02135",Allston/Brighton,83600,TRUSTEES OF BOSTON COLLEGE,(617) 254-2610,1964,3,1265300,145,0, ,42.34432295,-71.16304875,2205268070,747258.0002,2950680,183,100%,192,http://www.sjs.edu,
22,24,Consortium,0, ,14097,164924,Boston College,"140 Commonwealth Avenue, Chestnut Hill, Massachusetts 02467",Chestnut Hill,, , ,0, ,0,15036,0, ,42.33383264,-71.16971925, ,745469.5103,2946850.066,14754, ,14309, ,
55,58,NCES & Consortium,0,"One Wells Avenue, Newton, Massachusetts 02459",41509,166717,Massachusetts School of Professional Psychology,"221 Rivermoor St, Boston, Massachusetts 02132",West Roxbury,119454,CITY OF BOSTON,(617) 327-6777,1975,1,5477000,448,0, ,42.27889226,-71.18035129,2009228000,742669.8131,2926817.873,558, ,652,http://www.mspp.edu,
